epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5006,2.11438,5.06662,1.01156,0,0,0,0,2.36678,4.5616,0.982,8e-05,8e-05,0.09208
2,20.0154,2.09689,3.58636,0.98387,0.33333,0.06667,0.21138,0.03219,2.70207,4.23695,1.00663,0.000161585,0.000161585,0.0831616
3,27.5726,2.24467,2.65039,1.01176,0.25,0.33333,0.35958,0.12463,2.67543,4.02546,0.99134,0.00023426,0.00023426,0.0742343
4,36.1259,1.87279,2.35611,0.95138,0.28261,0.43333,0.41907,0.22047,2.22154,3.80968,0.92367,0.000298025,0.000298025,0.065298
5,43.5288,2.09883,2.10066,0.9975,0.29545,0.43333,0.43943,0.24559,1.99501,3.62156,0.89722,0.00035288,0.00035288,0.0563529
6,51.0758,1.78457,1.95274,0.93293,0.31886,0.83333,0.6675,0.24038,2.19352,3.36972,0.93269,0.000398825,0.000398825,0.0473988
7,58.6524,1.86564,1.71053,0.91833,0.19742,1,0.72147,0.19065,2.52551,3.00211,0.96724,0.00043586,0.00043586,0.0384359
8,65.957,1.91981,1.68367,0.93191,1,0.36023,0.79119,0.23661,2.49563,2.55602,0.95023,0.000463985,0.000463985,0.029464
9,73.6752,1.69911,1.5234,0.90277,1,0.35739,0.81087,0.26884,2.3501,2.35088,0.92925,0.0004832,0.0004832,0.0204832
10,81.1686,1.62499,1.46524,0.88497,1,0.39371,0.84241,0.29321,2.27533,2.14804,0.92191,0.000493505,0.000493505,0.0114935
11,88.5788,1.59507,1.31629,0.90876,1,0.50972,0.89171,0.33984,2.22837,1.79749,0.92299,0.0004949,0.0004949,0.0024949
12,95.8133,1.59647,1.28948,0.86816,1,0.62756,0.90723,0.33065,2.26479,1.59503,0.93083,0.0004555,0.0004555,0.0004555
13,102.593,1.52463,1.20216,0.89512,0.94996,0.75952,0.92726,0.34051,2.346,1.41363,0.94577,0.000406,0.000406,0.000406
14,110.594,1.50538,1.13505,0.88627,0.86995,0.83333,0.89952,0.3415,2.38579,1.29033,0.95311,0.0003565,0.0003565,0.0003565
15,117.625,1.43532,1.05886,0.89386,0.87785,0.90549,0.94226,0.32798,2.4059,1.22106,0.94995,0.000307,0.000307,0.000307
16,124.69,1.51818,1.10043,0.87238,0.87458,0.90927,0.94793,0.33587,2.41291,1.19608,0.94612,0.0002575,0.0002575,0.0002575
17,131.913,1.45994,1.00723,0.88448,0.87451,0.91218,0.95321,0.32928,2.37038,1.1887,0.93487,0.000208,0.000208,0.000208
18,139.573,1.48034,1.13088,0.86314,0.8771,0.91044,0.96313,0.34735,2.31757,1.17918,0.92435,0.0001585,0.0001585,0.0001585
19,147.024,1.52215,1.01683,0.90232,0.90612,0.9,0.97082,0.38185,2.20848,1.13014,0.90834,0.000109,0.000109,0.000109
20,155.167,1.46479,1.01339,0.87632,0.95503,0.9,0.97292,0.40467,2.165,1.10246,0.90237,5.95e-05,5.95e-05,5.95e-05
