epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9182,1.48725,1.14614,0.89793,1,0.06667,0.53332,0.26666,2.8694,4.4019,1.1107,8e-06,8e-06,0.092008
2,23.3318,1.36706,0.93238,0.86554,0.76923,0.66667,0.77231,0.32835,2.56224,3.66932,1.04525,1.61585e-05,1.61585e-05,0.0830162
3,32.7472,1.27876,0.87897,0.9109,0.73684,0.93333,0.90337,0.33113,2.38408,3.06466,0.99884,2.3426e-05,2.3426e-05,0.0740234
4,42.7124,1.24645,0.79116,0.87707,0.65217,1,0.99125,0.38002,2.45529,2.26332,0.98334,2.98025e-05,2.98025e-05,0.0650298
5,52.2632,1.21073,0.84192,0.85487,0.93413,1,0.99125,0.36868,2.50113,1.75719,0.97061,3.5288e-05,3.5288e-05,0.0560353
6,61.8731,1.19175,0.80074,0.8448,0.99916,0.93333,0.99125,0.37918,2.44195,1.42119,0.95164,3.98825e-05,3.98825e-05,0.0470399
7,71.9194,1.20548,0.87035,0.85767,1,0.96643,0.995,0.3919,2.31097,1.11907,0.92595,4.3586e-05,4.3586e-05,0.0380436
8,81.7213,1.25688,0.79923,0.86355,0.98386,1,0.995,0.40796,2.21963,0.97877,0.90242,4.63985e-05,4.63985e-05,0.0290464
9,91.518,1.24607,0.79581,0.8313,0.99193,1,0.995,0.41747,2.18276,0.94742,0.89381,4.832e-05,4.832e-05,0.0200483
10,101.416,1.13805,0.76825,0.85678,0.99105,1,0.995,0.42067,2.13212,0.93378,0.88516,4.93505e-05,4.93505e-05,0.0110494
11,110.86,1.14954,0.77103,0.85243,0.98844,1,0.995,0.40434,2.06115,0.94286,0.87287,4.949e-05,4.949e-05,0.00204949
12,120.288,1.14644,0.75953,0.82784,0.98857,1,0.995,0.43012,2.01343,0.94667,0.86815,4.555e-05,4.555e-05,4.555e-05
13,129.674,1.08436,0.73994,0.87332,0.99003,1,0.995,0.44806,1.97178,0.95323,0.86341,4.06e-05,4.06e-05,4.06e-05
14,145.369,1.20651,0.77068,0.88848,0.99149,1,0.995,0.46265,1.94119,0.95264,0.86084,3.565e-05,3.565e-05,3.565e-05
15,154.699,1.18001,0.73458,0.87796,0.99237,1,0.995,0.4797,1.90865,0.9386,0.85831,3.07e-05,3.07e-05,3.07e-05
16,164.45,1.12473,0.73474,0.84433,0.99248,1,0.995,0.48806,1.88379,0.92545,0.85598,2.575e-05,2.575e-05,2.575e-05
17,173.715,1.15575,0.72779,0.85273,0.99254,1,0.995,0.49773,1.87331,0.91713,0.85503,2.08e-05,2.08e-05,2.08e-05
18,183.451,1.13529,0.72885,0.85083,0.99297,1,0.995,0.4979,1.86733,0.91829,0.85403,1.585e-05,1.585e-05,1.585e-05
19,193.03,1.24401,0.75602,0.87046,0.99301,1,0.995,0.49776,1.86682,0.91662,0.85323,1.09e-05,1.09e-05,1.09e-05
20,202.74,1.13295,0.73376,0.86334,0.99315,1,0.995,0.49774,1.86415,0.9156,0.8528,5.95e-06,5.95e-06,5.95e-06
