epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0528,1.16894,0.86633,0.83306,1,0.42122,0.80789,0.29793,2.28654,2.18538,0.9236,8e-07,8e-07,0.0920008
2,23.5765,1.20491,0.84607,0.82795,0.92408,0.45133,0.80981,0.3505,2.03824,2.03139,0.89457,1.61585e-06,1.61585e-06,0.0830016
3,33.6186,1.18301,0.84322,0.85359,0.90886,0.57871,0.89927,0.36639,2.08144,1.61323,0.89969,2.3426e-06,2.3426e-06,0.0740023
4,43.9064,1.19718,0.78225,0.83223,0.85499,0.7574,0.90498,0.41338,1.91128,1.04925,0.87328,2.98025e-06,2.98025e-06,0.065003
5,53.7867,1.2179,0.84346,0.8419,0.94358,0.8861,0.9822,0.47679,1.75235,0.94538,0.85525,3.5288e-06,3.5288e-06,0.0560035
6,63.6203,1.18596,0.83021,0.82911,0.96268,0.92673,0.98621,0.53701,1.59433,0.84676,0.83306,3.98825e-06,3.98825e-06,0.047004
7,73.7342,1.12325,0.77542,0.83309,0.963,0.96538,0.99375,0.57875,1.441,0.76014,0.8132,4.3586e-06,4.3586e-06,0.0380044
8,83.4054,1.13175,0.81525,0.83155,0.94045,0.9956,0.99265,0.59461,1.37246,0.72749,0.80222,4.63985e-06,4.63985e-06,0.0290046
9,93.5041,1.07996,0.73785,0.82742,0.94513,0.99247,0.99265,0.61178,1.34673,0.72543,0.79822,4.832e-06,4.832e-06,0.0200048
10,103.386,1.02788,0.70055,0.82148,0.95952,0.97778,0.99265,0.61052,1.3325,0.71701,0.79613,4.93505e-06,4.93505e-06,0.0110049
11,112.872,1.09638,0.73061,0.8345,0.99464,0.97438,0.99265,0.62566,1.29754,0.70883,0.79182,4.949e-06,4.949e-06,0.00200495
12,122.363,1.0342,0.71439,0.82015,0.96854,0.9669,0.99109,0.62594,1.29155,0.70721,0.79102,4.555e-06,4.555e-06,4.555e-06
13,132.114,1.04478,0.6974,0.83164,0.96578,0.97087,0.99109,0.62563,1.28399,0.70289,0.79062,4.06e-06,4.06e-06,4.06e-06
14,142.3,1.04389,0.70678,0.84057,0.96586,0.97109,0.99109,0.62675,1.28224,0.69329,0.79054,3.565e-06,3.565e-06,3.565e-06
15,151.824,1.04274,0.70294,0.83668,0.96478,0.96976,0.99109,0.62588,1.26991,0.69346,0.7901,3.07e-06,3.07e-06,3.07e-06
16,161.389,1.06985,0.73372,0.84092,0.96447,0.97082,0.99109,0.62725,1.27035,0.68643,0.79035,2.575e-06,2.575e-06,2.575e-06
17,170.778,1.05313,0.70797,0.82888,0.96493,0.97407,0.99109,0.62723,1.27698,0.69266,0.79099,2.08e-06,2.08e-06,2.08e-06
18,180.617,1.13248,0.74285,0.8467,0.96515,0.97333,0.99109,0.62945,1.2806,0.69806,0.79129,1.585e-06,1.585e-06,1.585e-06
19,190.39,1.10299,0.71919,0.83695,0.96584,0.97397,0.99109,0.6271,1.28084,0.70561,0.79179,1.09e-06,1.09e-06,1.09e-06
20,200.29,1.06743,0.69898,0.81535,0.96496,0.97288,0.99109,0.62838,1.27847,0.7062,0.79179,5.95e-07,5.95e-07,5.95e-07
